#,Page,Element,Current copy,Proposed copy,Why (principle),Priority,Status,Your notes
1,Homepage,Hero H1 (control),"Get found by local customers, and chosen before your competitors.","No website? Your next customer is Googling you, and calling someone else.","Names the missed opportunity: high-intent searchers you can't capture yet, not existing customers. Pain-led.",High,READY,
2,Homepage,Hero subhead (pairs with H1),"Get a custom website that shows up on Google, ChatGPT, and social for 80% less than agencies charge.","Get a custom site live in 24 hours, for 80% less than an agency.",Carries the speed and price proof under the hook; tighter rhythm.,High,READY,
3,Homepage,"Hero H1 (challenger, A/B)",(tested against the control above),Get found by the customers searching for you right now.,Positive capture framing. Test against the pain-led control.,Test,TEST,
4,Homepage,Primary CTA button,"[CONFIRM actual button label, not readable from the page]",Get my free preview,"CTA = action verb + what they get. Put the free, no-commitment hook in the button.",High,OPEN,
5,Homepage,About-Matt closing CTA,"If you want to see what I can do for your business, let's chat.","See a free preview of your site, no commitment.","Replace the weak, vague ""let's chat"" with the same concrete, zero-risk action used elsewhere.",Med,READY,
6,Homepage,Eyebrow / bundle line,"Everything other agencies upsell you on - website, SEO, social, reviews - in one low monthly price.","Everything agencies sell you separately, website, SEO, social, reviews, in one monthly price from $99.","Specificity ($99 beats ""low""); ""sell you separately"" lands the bundle contrast.",Med,READY,
7,Homepage,Duplicate tagline,"""Agency results, a fraction of the price"" appears twice on the page.",Keep it once as a section divider; remove the duplicate.,One idea per section; repetition dilutes.,Low,READY,
8,Homepage,Frank testimonial label,Accordion player · Toronto,Reconcile the location to match how Frank is referenced elsewhere (Niagara / his own site).,"Honest, consistent detail. The testimonial wording itself is strong, leave it.",Low,OPEN,
9,One-Page page,Hero H1,"[CONFIRM live H1, may be ""When a one-page website works well.""]",One-page websites that make the next step obvious.,"Keyword plus outcome-led H1 for ""one-page websites"" search intent.",Med,VERIFY,
10,Homepage,Meta title (SEO copy),Custom Websites in 24 Hours + Local Growth Marketing | Well and Good Websites (77 chars),Custom Websites in 24 Hours | Well & Good Websites,Avoids truncation in Google results (keep under ~65 chars).,Med,READY,
